no;metafrontier_1;metafrontier_2;metafrontier;group;true_te;true_tgr;true_te_star;true_u;true_v
1;4.574030217;3.131226723;3.553174757;G1;0.548658664;1;0.548658664;0.600278771;0.240193075
2;4.685377066;1.085788491;3.66866329;G1;0.904716939;1;0.904716939;0.100133159;0.208950217
3;1.430697674;1.082836555;1.37987688;G1;0.703703949;1;0.703703949;0.351397538;-0.200641729
4;4.15223813;1.944725143;3.216898701;G1;0.539095916;1;0.539095916;0.617861773;0.36969638
5;3.208727594;4.71227846;3.000406328;G1;0.66162359;1;0.66162359;0.413058479;-0.133354682
6;2.595479746;4.813040069;2.936193979;G1;0.708038598;1;0.708038598;0.34525667;0.021102762
7;3.682941573;3.699276396;3.285128471;G1;0.809169862;1;0.809169862;0.211746418;-0.084451176
8;0.673332986;3.666229529;1.72922563;G1;0.728901455;1;0.728901455;0.316216735;-0.024470034
9;3.284961452;2.67880645;3.022157506;G1;0.823885993;1;0.823885993;0.193723117;0.037638607
10;3.52532392;0.01136483;2.733153727;G1;0.945904761;1;0.945904761;0.05561339;0.023832192
11;2.288708881;3.044687263;2.387906768;G1;0.697420594;1;0.697420594;0.360366615;-0.00501851
12;3.595561258;4.184007797;3.045105084;G1;0.542758044;1;0.542758044;0.61109165;0.021614546
13;4.673361236;3.757612813;3.95878371;G1;0.968184681;1;0.968184681;0.032332423;-0.097087047
14;1.277144122;2.263657863;1.965227777;G1;0.975083247;1;0.975083247;0.02523243;-0.100843426
15;2.311464113;2.678949969;2.210616342;G1;0.861839783;1;0.861839783;0.148685892;-0.332219816
16;4.700072614;2.686883477;3.799721701;G1;0.988838204;1;0.988838204;0.011224556;-0.076466745
17;4.891132142;0.006904218;3.304790452;G1;0.961148446;1;0.961148446;0.039626411;-0.102530052
18;0.587436808;1.778329769;1.746726331;G1;0.642083946;1;0.642083946;0.443036227;0.5403782
19;2.374985408;3.060665451;2.462093485;G1;0.93696527;1;0.93696527;0.065109063;-0.272423246
20;2.801663731;4.144710653;2.872144579;G1;0.680395752;1;0.680395752;0.385080661;0.027451244
21;4.520156936;1.783609997;3.202375087;G1;0.890742079;1;0.890742079;0.115700367;-0.298725013
22;0.693550839;2.053175629;1.357869535;G1;0.899915992;1;0.899915992;0.105453862;-0.294087148
23;4.944458645;2.867379495;3.91410687;G1;0.855098315;1;0.855098315;0.156538828;0.024940477
24;4.733341163;2.948391518;3.436581698;G1;0.725830066;1;0.725830066;0.32043936;-0.199327827
25;0.41218779;3.598286462;1.796876894;G1;0.87940497;1;0.87940497;0.128509771;-0.000364523
26;2.571058922;1.974865226;2.542645259;G1;0.949133828;1;0.949133828;0.05220547;-0.085651776
27;1.951017336;4.596019646;2.617277957;G1;0.856671868;1;0.856671868;0.154700319;-0.122734321
28;4.528690655;4.812851468;3.751670469;G1;0.932105211;1;0.932105211;0.070309583;-0.404935569
29;2.234848141;1.167617628;1.908446978;G1;0.820738259;1;0.820738259;0.197551028;-0.24494959
30;4.1800213;3.622488;3.475340557;G1;0.687240496;1;0.687240496;0.375070981;0.035903288
31;3.687978089;4.518172626;3.779618574;G1;0.921705874;1;0.921705874;0.081529115;0.113524119
32;4.055275706;3.017370424;3.248150868;G1;0.752476435;1;0.752476435;0.284385599;-0.098575471
33;1.940541414;3.157536495;2.241315854;G1;0.697345197;1;0.697345197;0.360474729;1.26E-05
34;3.425848647;4.686929248;3.735053273;G1;0.86950184;1;0.86950184;0.139834829;0.224577929
35;0.019741694;4.252413753;2.067519328;G1;0.922373151;1;0.922373151;0.080805419;0.287971149
36;4.164580401;2.899104495;3.325398724;G1;0.889327587;1;0.889327587;0.117289622;-0.219422754
37;0.036670734;4.10701962;1.411663275;G1;0.667235579;1;0.667235579;0.404612104;-0.023463912
38;1.038294864;0.568593045;1.866336311;G1;0.993193857;1;0.993193857;0.00682941;0.24029968
39;4.533007039;3.822538793;3.863797607;G1;0.929351958;1;0.929351958;0.073267755;-0.093945916
40;3.058893217;3.118067286;2.859854656;G1;0.7537372;1;0.7537372;0.282711512;-0.010493897
41;1.897796203;0.742233034;1.861358065;G1;0.803510374;1;0.803510374;0.218765183;-0.01722146
42;2.178857925;0.401322333;1.692736953;G1;0.741247521;1;0.741247521;0.299420673;-0.177535804
43;0.187155164;2.320347757;1.091165833;G1;0.685542695;1;0.685542695;0.377544499;-0.088936801
44;4.867699569;3.896840807;3.832669863;G1;0.687523611;1;0.687523611;0.374659107;-0.005888976
45;2.158756244;3.667639798;2.315941197;G1;0.660874636;1;0.660874636;0.414191115;-0.08277377
46;4.787882983;4.086152222;3.818860933;G1;0.540647271;1;0.540647271;0.614988208;0.222677205
47;4.438774528;0.850812406;2.988289328;G1;0.737077786;1;0.737077786;0.305061849;-0.096198568
